,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value
23,E00024045,76.691,45.775,44.373,44.226,53.028,103.672,135.248,80.726,78.254,77.995,93.517,182.83,648.57
24,E00023749,47.961,32.172,28.544,26.728,27.934,62.654,84.581,56.737,50.339,47.136,49.263,110.493,398.549
25,E00023712,58.109,28.552,23.545,27.865,28.51,65.632,102.478,50.353,41.523,49.141,50.279,115.745,409.518
26,E00024081,41.021,25.798,24.981,20.459,25.491,58.982,72.342,45.496,44.055,36.08,44.955,104.017,346.946
27,E00023843,387.623,258.875,193.904,206.853,228.999,483.485,683.59,456.537,341.958,364.794,403.85,852.647,3103.377
28,E00023870,57.535,35.257,31.772,38.958,40.513,62.159,101.466,62.177,56.031,68.704,71.446,109.62,469.445
29,E00023718,91.017,48.303,44.255,48.929,52.816,116.827,160.512,85.184,78.046,86.288,93.143,206.03,709.204
30,E00023430,15.404,8.969,6.758,8.223,10.404,15.693,27.166,15.817,11.918,14.502,18.348,27.675,115.426
31,E00023944,90.256,45.255,49.442,40.971,67.075,103.097,159.17,79.809,87.193,72.254,118.29,181.816,698.533
32,E00023450,109.712,69.81,60.316,58.745,61.209,127.51,193.482,123.113,106.37,103.599,107.945,224.87,859.379
33,E00023909,55.731,34.165,29.287,36.465,35.372,51.986,98.284,60.251,51.649,64.308,62.38,91.68,428.552
34,E00023591,65.478,42.888,29.945,39.743,32.036,73.167,115.473,75.635,52.809,70.089,56.497,129.033,499.536
35,E00175256,40.516,25.619,19.086,22.768,21.099,54.211,71.452,45.18,33.659,40.152,37.209,95.603,323.256
36,E00023938,542.365,276.693,305.257,249.772,393.92,597.44,956.485,487.96,538.334,440.484,694.695,1053.612,4171.57
37,E00175195,342.53,173.568,177.85,174.357,202.207,407.584,604.067,306.095,313.646,307.486,356.601,718.792,2606.688
38,E00023565,157.312,93.142,74.071,95.163,95.358,163.995,277.427,164.26,130.627,167.824,168.168,289.212,1197.519
39,E00023754,139.872,88.88,70.001,85.485,91.971,144.813,246.67,156.744,123.45,150.757,162.195,255.384,1095.2
40,E00023493,171.854,114.824,109.935,102.414,143.283,197.893,303.072,202.497,193.875,180.612,252.686,348.993,1481.735
41,E00023793,69.515,43.187,38.742,46.244,39.412,84.998,122.593,76.162,68.323,81.553,69.505,149.898,568.034
42,E00023766,21.476,13.473,12.491,10.062,15.744,26.384,37.874,23.76,22.028,17.745,27.765,46.529,175.702
43,E00175216,119.996,72.751,70.555,82.233,78.841,135.666,211.618,128.3,124.427,145.022,139.04,239.253,987.659
44,E00023849,108.534,67.52,60.367,62.411,67.1,112.13,191.404,119.074,106.46,110.065,118.334,197.746,843.083
45,E00023514,98.192,66.36,60.473,63.004,65.603,128.57,173.166,117.029,106.647,111.11,115.694,226.739,850.385
46,E00024007,240.501,140.083,134.182,124.16,164.127,283.967,424.134,247.043,236.636,218.962,289.445,500.788,1917.008
47,E00023534,125.751,85.128,69.607,76.861,75.831,156.83,221.767,150.127,122.755,135.548,133.731,276.577,1040.505
48,E00023802,82.508,48.154,42.371,49.54,52.075,87.261,145.506,84.922,74.723,87.366,91.837,153.889,638.242
49,E00023562,67.74,47.824,37.952,38.196,34.826,87.699,119.462,84.34,66.93,67.36,61.417,154.661,554.171
50,E00023826,533.179,456.336,273.585,342.292,303.704,769.405,940.285,804.769,482.479,603.647,535.595,1356.88,4723.655
51,E00024079,34.486,19.5,22.602,18.244,23.243,42.53,60.818,34.389,39.86,32.174,40.99,75.004,283.234
52,E00023845,671.239,418.881,334.233,363.047,400.55,853.723,1183.76,738.715,589.435,640.249,706.388,1505.578,5364.125
53,E00023523,210.325,133.123,130.595,125.495,146.925,244.494,370.917,234.768,230.31,221.316,259.109,431.176,1747.596
54,E00023436,78.119,43.386,36.031,41.779,40.267,88.242,137.766,76.513,63.542,73.679,71.013,155.619,578.132
55,E00023675,59.421,28.64,31.355,33.245,38.56,67.582,104.792,50.508,55.296,58.629,68.002,119.184,456.411
56,E00023672,48.973,30.803,26.907,34.568,37.555,50.438,86.366,54.322,47.452,60.962,66.23,88.95,404.282
57,E00175194,913.05,451.448,474.103,430.022,550.95,1005.705,1610.204,796.148,836.102,758.363,971.625,1773.605,6746.047
58,E00023628,143.717,80.88,85.937,87.373,111.745,173.535,253.451,142.635,151.554,154.086,197.067,306.037,1204.83
59,E00023652,231.132,118.962,136.509,127.272,147.587,247.99,407.611,209.795,240.74,224.45,260.276,437.341,1780.213
60,E00024093,72.168,39.741,33.013,47.834,40.909,85.681,127.271,70.085,58.22,84.357,72.145,151.102,563.181
61,E00023614,119.933,62.859,54.265,75.031,66.657,127.944,211.507,110.855,95.699,132.32,117.553,225.635,893.568
62,E00175211,45.564,27.013,23.84,33.806,31.798,52.489,80.354,47.639,42.043,59.618,56.077,92.567,378.298
63,E00023581,104.408,69.833,46.064,67.695,52.858,123.881,184.128,123.154,81.236,119.383,93.217,218.47,819.588
64,E00023513,83.205,52.313,45.321,46.237,55.431,105.74,146.736,92.256,79.926,81.541,97.755,186.477,684.691
65,E00023727,178.397,107.0,104.332,109.473,123.866,209.96,314.611,188.699,183.994,193.06,218.443,370.274,1469.082
66,E00023480,77.041,47.758,48.66,47.8,52.913,104.348,135.865,84.223,85.814,84.297,93.314,184.022,667.537
67,E00024013,157.632,94.797,88.303,85.268,106.917,179.951,277.991,167.179,155.726,150.374,188.553,317.352,1257.174
68,E00023419,64.085,46.949,38.504,41.26,42.342,86.589,113.017,82.797,67.904,72.764,74.672,152.704,563.856
69,E00023923,13.276,8.994,5.94,8.057,7.089,14.606,23.413,15.861,10.475,14.209,12.502,25.758,102.219
70,E00023698,158.464,95.909,87.455,91.359,117.638,184.705,279.458,169.14,154.231,161.116,207.46,325.735,1297.14
71,E00023890,61.832,45.251,31.752,36.771,36.371,69.916,109.043,79.802,55.996,64.847,64.142,123.3,497.131
72,E00024101,117.617,69.631,56.464,74.471,67.579,136.33,207.423,122.797,99.577,131.333,119.179,240.424,920.732
