,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
700,E00023865,44.738,13.427,10.637,14.532,9.232,7.434,44.738,13.427,10.637,14.532,9.232,7.434
701,E00023697,43.176,8.037,15.526,8.095,20.16,5.006,43.176,8.037,15.526,8.095,20.16,5.006
702,E00024134,43.324,3.912,18.056,12.834,18.197,3.677,43.324,3.912,18.056,12.834,18.197,3.677
703,E00023616,43.186,22.833,7.006,9.639,8.361,8.975,43.186,22.833,7.006,9.639,8.361,8.975
704,E00024036,43.054,12.073,14.371,8.235,16.03,6.236,43.054,12.073,14.371,8.235,16.03,6.236
705,E00024052,49.148,4.61,13.568,11.776,15.347,5.55,49.148,4.61,13.568,11.776,15.347,5.55
706,E00175194,45.097,6.823,15.038,13.998,14.646,4.399,45.097,6.823,15.038,13.998,14.646,4.399
707,E00023856,43.802,28.571,4.058,8.505,4.447,10.617,43.802,28.571,4.058,8.505,4.447,10.617
708,E00023947,53.333,10.855,12.806,6.155,10.2,6.651,53.333,10.855,12.806,6.155,10.2,6.651
709,E00024048,53.764,7.206,11.575,10.686,11.821,4.948,53.764,7.206,11.575,10.686,11.821,4.948
710,E00175209,47.471,8.094,12.448,12.5,12.396,7.091,47.471,8.094,12.448,12.5,12.396,7.091
711,E00023489,56.675,8.07,9.072,7.564,11.486,7.133,56.675,8.07,9.072,7.564,11.486,7.133
712,E00023603,50.062,14.439,8.73,9.764,9.35,7.654,50.062,14.439,8.73,9.764,9.35,7.654
713,E00023656,52.194,6.142,12.177,9.592,12.355,7.541,52.194,6.142,12.177,9.592,12.355,7.541
714,E00024046,45.753,14.908,10.289,10.004,11.252,7.793,45.753,14.908,10.289,10.004,11.252,7.793
715,E00023468,39.263,9.936,15.909,15.044,14.307,5.54,39.263,9.936,15.909,15.044,14.307,5.54
716,E00023718,42.557,13.242,13.616,8.453,16.198,5.934,42.557,13.242,13.616,8.453,16.198,5.934
717,E00023799,56.596,5.541,7.872,13.544,9.894,6.552,56.596,5.541,7.872,13.544,9.894,6.552
718,E00023822,52.803,8.309,11.863,9.195,11.677,6.153,52.803,8.309,11.863,9.195,11.677,6.153
719,E00023610,51.933,8.377,11.716,9.578,11.746,6.649,51.933,8.377,11.716,9.578,11.746,6.649
720,E00023691,50.889,10.0,12.272,5.16,12.049,9.63,50.889,10.0,12.272,5.16,12.049,9.63
721,E00024045,41.029,16.904,11.374,10.855,13.992,5.845,41.029,16.904,11.374,10.855,13.992,5.845
722,E00023834,52.593,5.022,11.255,13.901,12.054,5.176,52.593,5.022,11.255,13.901,12.054,5.176
723,E00023612,46.145,7.309,13.108,13.13,14.219,6.088,46.145,7.309,13.108,13.13,14.219,6.088
724,E00023817,63.433,9.155,8.17,5.695,8.184,5.363,63.433,9.155,8.17,5.695,8.184,5.363
725,E00023896,62.757,5.376,7.136,9.873,8.309,6.549,62.757,5.376,7.136,9.873,8.309,6.549
726,E00023434,45.658,8.505,16.865,9.081,14.126,5.766,45.658,8.505,16.865,9.081,14.126,5.766
727,E00175201,50.383,7.28,10.016,13.309,10.086,8.927,50.383,7.28,10.016,13.309,10.086,8.927
728,E00023944,61.311,11.773,7.63,6.02,7.463,5.802,61.311,11.773,7.63,6.02,7.463,5.802
729,E00024064,42.886,6.085,15.202,11.02,19.208,5.599,42.886,6.085,15.202,11.02,19.208,5.599
730,E00175278,48.308,9.904,13.07,5.837,11.922,10.959,48.308,9.904,13.07,5.837,11.922,10.959
731,E00023601,45.048,7.977,12.08,14.273,13.583,7.039,45.048,7.977,12.08,14.273,13.583,7.039
732,E00023680,51.87,6.895,14.781,4.416,8.878,13.159,51.87,6.895,14.781,4.416,8.878,13.159
733,E00023937,54.657,4.132,17.661,8.314,11.23,4.007,54.657,4.132,17.661,8.314,11.23,4.007
734,E00023478,40.447,7.342,14.264,18.244,13.069,6.634,40.447,7.342,14.264,18.244,13.069,6.634
735,E00175267,42.476,7.746,13.185,22.497,8.169,5.926,42.476,7.746,13.185,22.497,8.169,5.926
736,E00023793,45.322,15.567,9.049,8.742,12.347,8.972,45.322,15.567,9.049,8.742,12.347,8.972
737,E00023712,52.602,7.187,13.569,4.647,14.715,7.28,52.602,7.187,13.569,4.647,14.715,7.28
738,E00023976,41.094,16.123,13.62,13.504,10.244,5.413,41.094,16.123,13.62,13.504,10.244,5.413
739,E00023646,47.748,9.241,12.448,9.658,14.133,6.771,47.748,9.241,12.448,9.658,14.133,6.771
740,E00023621,47.578,6.558,14.139,12.781,14.021,4.923,47.578,6.558,14.139,12.781,14.021,4.923
741,E00024079,35.682,24.752,11.247,11.563,9.711,7.046,35.682,24.752,11.247,11.563,9.711,7.046
742,E00023652,47.808,9.119,12.291,10.431,13.827,6.523,47.808,9.119,12.291,10.431,13.827,6.523
743,E00023559,39.088,10.148,17.238,15.472,11.149,6.906,39.088,10.148,17.238,15.472,11.149,6.906
744,E00024070,48.457,11.622,12.771,4.957,11.031,11.162,48.457,11.622,12.771,4.957,11.031,11.162
745,E00023746,48.403,6.387,13.118,10.927,12.962,8.203,48.403,6.387,13.118,10.927,12.962,8.203
746,E00023532,43.022,12.238,12.968,12.168,12.403,7.202,43.022,12.238,12.968,12.168,12.403,7.202
747,E00023927,51.884,12.57,9.31,8.919,10.549,6.768,51.884,12.57,9.31,8.919,10.549,6.768
748,E00023747,52.966,6.562,10.866,8.661,13.228,7.717,52.966,6.562,10.866,8.661,13.228,7.717
749,E00023716,41.058,14.505,14.608,5.427,18.259,6.143,41.058,14.505,14.608,5.427,18.259,6.143
750,E00023797,60.348,11.826,4.87,4.0,5.304,13.652,60.348,11.826,4.87,4.0,5.304,13.652
751,E00175262,43.085,30.123,6.662,5.286,7.603,7.241,43.085,30.123,6.662,5.286,7.603,7.241
752,E00023548,45.263,18.723,9.198,7.163,10.983,8.671,45.263,18.723,9.198,7.163,10.983,8.671
753,E00024007,58.852,6.681,8.545,10.75,9.321,5.851,58.852,6.681,8.545,10.75,9.321,5.851
754,E00024086,37.874,15.407,11.484,19.151,11.305,4.779,37.874,15.407,11.484,19.151,11.305,4.779
755,E00023549,40.742,35.905,4.796,4.42,6.714,7.423,40.742,35.905,4.796,4.42,6.714,7.423
756,E00023829,61.76,8.45,7.296,9.403,8.535,4.556,61.76,8.45,7.296,9.403,8.535,4.556
757,E00024124,65.909,8.547,6.612,6.728,7.056,5.148,65.909,8.547,6.612,6.728,7.056,5.148
758,E00175245,45.336,12.279,15.112,4.664,12.869,9.74,45.336,12.279,15.112,4.664,12.869,9.74
759,E00023631,44.088,6.125,17.147,5.852,20.798,5.989,44.088,6.125,17.147,5.852,20.798,5.989
760,E00023440,47.994,10.81,9.658,14.339,10.475,6.724,47.994,10.81,9.658,14.339,10.475,6.724
761,E00175190,53.902,5.239,13.346,14.72,8.983,3.811,53.902,5.239,13.346,14.72,8.983,3.811
762,E00023909,53.42,8.38,9.982,8.318,9.181,10.721,53.42,8.38,9.982,8.318,9.181,10.721
763,E00023988,43.957,5.53,15.041,11.1,18.5,5.872,43.957,5.53,15.041,11.1,18.5,5.872
764,E00024044,52.729,6.772,10.992,9.848,11.199,8.46,52.729,6.772,10.992,9.848,11.199,8.46
765,E00175269,39.099,9.086,13.945,24.223,8.322,5.325,39.099,9.086,13.945,24.223,8.322,5.325
766,E00023982,32.445,9.007,27.665,5.79,19.393,5.699,32.445,9.007,27.665,5.79,19.393,5.699
767,E00023444,53.787,18.485,4.058,6.898,5.591,11.181,53.787,18.485,4.058,6.898,5.591,11.181
768,E00024127,49.62,10.399,12.776,10.443,12.094,4.666,49.62,10.399,12.776,10.443,12.094,4.666
