,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
342,E00023617,52.669,8.882,7.846,12.227,12.227,6.148,52.669,8.882,7.846,12.227,12.227,6.148
343,E00023770,57.436,5.916,8.053,12.243,10.929,5.423,57.436,5.916,8.053,12.243,10.929,5.423
344,E00023649,56.094,8.743,8.262,8.743,12.709,5.449,56.094,8.743,8.262,8.743,12.709,5.449
345,E00023836,58.855,6.01,6.386,12.202,11.005,5.542,58.855,6.01,6.386,12.202,11.005,5.542
346,E00023777,60.817,11.872,4.786,9.479,6.194,6.851,60.817,11.872,4.786,9.479,6.194,6.851
347,E00023776,61.627,6.286,5.476,12.919,7.212,6.479,61.627,6.286,5.476,12.919,7.212,6.479
348,E00023647,51.905,9.295,9.204,9.368,14.398,5.832,51.905,9.295,9.204,9.368,14.398,5.832
349,E00023784,59.067,9.567,4.95,12.042,7.758,6.616,59.067,9.567,4.95,12.042,7.758,6.616
350,E00023705,68.608,7.154,6.008,6.329,6.604,5.297,68.608,7.154,6.008,6.329,6.604,5.297
351,E00023437,58.389,14.265,4.804,5.913,8.869,7.761,58.389,14.265,4.804,5.913,8.869,7.761
352,E00023849,54.11,8.552,5.751,16.14,8.672,6.775,54.11,8.552,5.751,16.14,8.672,6.775
353,E00023761,56.749,9.579,8.563,4.064,14.949,6.096,56.749,9.579,8.563,4.064,14.949,6.096
354,E00023934,54.796,6.808,9.251,14.067,10.362,4.716,54.796,6.808,9.251,14.067,10.362,4.716
355,E00023535,54.185,10.025,8.17,10.276,9.975,7.368,54.185,10.025,8.17,10.276,9.975,7.368
356,E00023875,56.25,8.871,5.595,11.794,10.685,6.804,56.25,8.871,5.595,11.794,10.685,6.804
357,E00023543,52.249,13.273,6.277,11.056,10.681,6.465,52.249,13.273,6.277,11.056,10.681,6.465
358,E00023860,60.087,9.135,6.471,10.44,8.265,5.601,60.087,9.135,6.471,10.44,8.265,5.601
359,E00023542,55.559,14.204,5.716,8.145,10.86,5.516,55.559,14.204,5.716,8.145,10.86,5.516
360,E00023678,54.427,10.918,10.429,8.148,8.854,7.224,54.427,10.918,10.429,8.148,8.854,7.224
361,E00175211,58.017,8.861,6.118,9.705,10.918,6.382,58.017,8.861,6.118,9.705,10.918,6.382
362,E00023674,52.534,5.366,6.571,19.165,10.826,5.538,52.534,5.366,6.571,19.165,10.826,5.538
363,E00024117,60.0,7.416,7.258,9.618,9.124,6.584,60.0,7.416,7.258,9.618,9.124,6.584
364,E00024040,59.118,9.769,6.483,8.703,7.904,8.022,59.118,9.769,6.483,8.703,7.904,8.022
365,E00023939,56.724,5.811,11.395,12.928,8.463,4.678,56.724,5.811,11.395,12.928,8.463,4.678
366,E00175250,50.752,10.324,10.206,9.375,13.528,5.815,50.752,10.324,10.206,9.375,13.528,5.815
367,E00023676,57.081,14.47,8.805,6.034,7.451,6.158,57.081,14.47,8.805,6.034,7.451,6.158
368,E00023730,53.068,7.608,8.931,9.326,15.38,5.686,53.068,7.608,8.931,9.326,15.38,5.686
369,E00023487,57.873,7.818,6.245,10.76,10.917,6.387,57.873,7.818,6.245,10.76,10.917,6.387
370,E00024058,58.456,6.79,7.453,9.679,12.127,5.495,58.456,6.79,7.453,9.679,12.127,5.495
371,E00023968,52.63,12.238,7.55,8.34,13.764,5.478,52.63,12.238,7.55,8.34,13.764,5.478
372,E00024054,58.525,7.275,6.992,11.179,10.635,5.394,58.525,7.275,6.992,11.179,10.635,5.394
373,E00023935,54.722,6.229,11.208,11.721,11.342,4.778,54.722,6.229,11.208,11.721,11.342,4.778
374,E00023597,64.496,10.643,4.21,5.798,7.546,7.307,64.496,10.643,4.21,5.798,7.546,7.307
375,E00023516,56.409,8.217,8.405,10.941,10.315,5.713,56.409,8.217,8.405,10.941,10.315,5.713
376,E00023965,54.555,11.713,7.0,9.567,11.537,5.628,54.555,11.713,7.0,9.567,11.537,5.628
377,E00023494,53.577,8.519,7.963,11.153,12.24,6.549,53.577,8.519,7.963,11.153,12.24,6.549
378,E00023415,56.62,7.887,6.085,12.113,10.817,6.479,56.62,7.887,6.085,12.113,10.817,6.479
379,E00023467,51.714,6.824,7.762,14.586,12.904,6.21,51.714,6.824,7.762,14.586,12.904,6.21
380,E00023670,62.99,8.59,7.582,5.461,9.703,5.673,62.99,8.59,7.582,5.461,9.703,5.673
381,E00023490,60.963,8.214,5.972,8.546,10.525,5.779,60.963,8.214,5.972,8.546,10.525,5.779
382,E00175263,64.815,8.457,6.358,7.16,6.111,7.099,64.815,8.457,6.358,7.16,6.111,7.099
383,E00023748,51.083,14.262,7.233,11.402,9.849,6.171,51.083,14.262,7.233,11.402,9.849,6.171
384,E00024057,56.905,5.784,7.521,12.802,11.516,5.472,56.905,5.784,7.521,12.802,11.516,5.472
385,E00023557,54.116,8.38,7.307,15.172,9.174,5.851,54.116,8.38,7.307,15.172,9.174,5.851
386,E00024043,54.75,9.447,7.436,10.664,10.744,6.96,54.75,9.447,7.436,10.664,10.744,6.96
387,E00023853,62.557,13.333,4.384,7.397,5.388,6.941,62.557,13.333,4.384,7.397,5.388,6.941
388,E00023685,58.145,6.481,7.249,8.991,12.039,7.095,58.145,6.481,7.249,8.991,12.039,7.095
389,E00023604,60.089,9.543,6.025,9.22,8.896,6.227,60.089,9.543,6.025,9.22,8.896,6.227
