,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
661,E00023650,48.017,7.233,11.969,8.353,18.759,5.67,48.017,7.233,11.969,8.353,18.759,5.67
662,E00023614,53.418,7.696,9.688,9.23,13.859,6.109,53.418,7.696,9.688,9.23,13.859,6.109
663,E00023695,52.328,8.884,9.881,9.976,13.23,5.701,52.328,8.884,9.881,9.976,13.23,5.701
664,E00175219,59.67,6.55,8.535,7.788,10.366,7.091,59.67,6.55,8.535,7.788,10.366,7.091
665,E00023709,58.519,12.189,7.594,5.743,9.445,6.509,58.519,12.189,7.594,5.743,9.445,6.509
666,E00023788,48.355,9.649,8.812,15.449,11.712,6.023,48.355,9.649,8.812,15.449,11.712,6.023
667,E00024123,57.542,8.115,8.043,10.387,10.378,5.536,57.542,8.115,8.043,10.387,10.378,5.536
668,E00023623,52.948,7.345,9.948,10.539,13.381,5.839,52.948,7.345,9.948,10.539,13.381,5.839
669,E00023590,50.658,10.042,8.757,13.329,10.371,6.844,50.658,10.042,8.757,13.329,10.371,6.844
670,E00023511,53.113,11.294,6.712,10.728,11.685,6.469,53.113,11.294,6.712,10.728,11.685,6.469
671,E00024099,47.956,22.642,6.761,8.333,8.281,6.027,47.956,22.642,6.761,8.333,8.281,6.027
672,E00024041,55.665,7.265,9.069,8.901,12.268,6.832,55.665,7.265,9.069,8.901,12.268,6.832
673,E00023504,51.557,8.884,9.276,10.58,13.148,6.555,51.557,8.884,9.276,10.58,13.148,6.555
674,E00023972,52.122,9.338,10.781,9.338,13.667,4.754,52.122,9.338,10.781,9.338,13.667,4.754
675,E00023668,52.328,5.662,9.12,14.839,12.483,5.567,52.328,5.662,9.12,14.839,12.483,5.567
676,E00023573,51.739,8.12,9.004,14.928,10.433,5.777,51.739,8.12,9.004,14.928,10.433,5.777
677,E00175212,57.178,6.489,9.485,8.942,12.366,5.541,57.178,6.489,9.485,8.942,12.366,5.541
678,E00024091,51.265,17.553,8.105,7.486,9.757,5.834,51.265,17.553,8.105,7.486,9.757,5.834
679,E00024010,57.025,6.68,8.639,8.446,13.221,5.99,57.025,6.68,8.639,8.446,13.221,5.99
680,E00023901,66.479,5.624,5.062,8.774,6.862,7.199,66.479,5.624,5.062,8.774,6.862,7.199
681,E00023762,50.607,7.452,9.348,14.316,12.059,6.219,50.607,7.452,9.348,14.316,12.059,6.219
682,E00023852,59.727,12.513,7.256,6.835,8.833,4.837,59.727,12.513,7.256,6.835,8.833,4.837
683,E00024109,57.213,6.296,9.416,9.514,12.013,5.548,57.213,6.296,9.416,9.514,12.013,5.548
684,E00023682,63.485,8.38,7.048,6.437,8.491,6.16,63.485,8.38,7.048,6.437,8.491,6.16
685,E00023497,54.385,8.032,8.14,9.91,12.918,6.616,54.385,8.032,8.14,9.91,12.918,6.616
686,E00023416,71.21,6.01,4.304,7.658,5.971,4.847,71.21,6.01,4.304,7.658,5.971,4.847
687,E00023474,51.615,6.583,8.603,13.301,13.903,5.995,51.615,6.583,8.603,13.301,13.903,5.995
688,E00023515,54.228,8.002,9.51,9.681,12.892,5.686,54.228,8.002,9.51,9.681,12.892,5.686
689,E00023491,56.316,7.439,7.969,8.026,14.121,6.129,56.316,7.439,7.969,8.026,14.121,6.129
690,E00023707,58.13,11.186,7.274,7.274,9.658,6.479,58.13,11.186,7.274,7.274,9.658,6.479
691,E00023786,53.12,12.917,6.713,10.196,10.631,6.422,53.12,12.917,6.713,10.196,10.631,6.422
692,E00175210,56.0,8.04,7.04,10.84,11.72,6.36,56.0,8.04,7.04,10.84,11.72,6.36
693,E00023857,58.621,13.103,7.685,6.995,9.163,4.433,58.621,13.103,7.685,6.995,9.163,4.433
694,E00175241,54.731,5.959,9.656,9.966,14.4,5.287,54.731,5.959,9.656,9.966,14.4,5.287
695,E00023818,63.828,8.155,7.216,7.658,8.248,4.895,63.828,8.155,7.216,7.658,8.248,4.895
696,E00023899,61.326,6.748,7.774,8.09,10.773,5.288,61.326,6.748,7.774,8.09,10.773,5.288
697,E00023595,53.494,7.969,9.177,11.463,11.43,6.466,53.494,7.969,9.177,11.463,11.43,6.466
698,E00023514,53.461,9.46,7.833,11.109,11.977,6.162,53.461,9.46,7.833,11.109,11.977,6.162
699,E00023472,47.725,6.754,9.431,18.104,12.441,5.545,47.725,6.754,9.431,18.104,12.441,5.545
700,E00023865,53.188,9.442,7.985,13.264,10.255,5.866,53.188,9.442,7.985,13.264,10.255,5.866
701,E00023697,47.486,7.965,11.578,9.51,17.933,5.528,47.486,7.965,11.578,9.51,17.933,5.528
702,E00024134,48.998,5.087,12.67,12.224,16.395,4.625,48.998,5.087,12.67,12.224,16.395,4.625
703,E00023616,51.332,14.647,7.446,10.027,9.81,6.739,51.332,14.647,7.446,10.027,9.81,6.739
704,E00024036,53.447,9.214,9.105,8.974,13.57,5.691,53.447,9.214,9.105,8.974,13.57,5.691
705,E00024052,53.262,5.58,9.987,11.185,14.647,5.338,53.262,5.58,9.987,11.185,14.647,5.338
706,E00175194,50.851,6.38,10.763,13.086,14.129,4.791,50.851,6.38,10.763,13.086,14.129,4.791
707,E00023856,56.149,17.217,4.919,8.878,5.939,6.899,56.149,17.217,4.919,8.878,5.939,6.899
708,E00023947,55.857,9.497,9.812,8.038,11.05,5.746,55.857,9.497,9.812,8.038,11.05,5.746
709,E00024048,55.003,6.945,9.535,10.78,12.557,5.18,55.003,6.945,9.535,10.78,12.557,5.18
710,E00175209,51.564,7.583,9.777,12.363,12.647,6.066,51.564,7.583,9.777,12.363,12.647,6.066
711,E00023489,57.973,6.925,7.228,8.438,13.547,5.889,57.973,6.925,7.228,8.438,13.547,5.889
712,E00023603,56.633,10.02,7.748,9.574,9.939,6.085,56.633,10.02,7.748,9.574,9.939,6.085
713,E00023656,53.81,6.668,9.656,10.673,12.996,6.198,53.81,6.668,9.656,10.673,12.996,6.198
714,E00024046,52.068,10.839,8.089,10.4,12.179,6.425,52.068,10.839,8.089,10.4,12.179,6.425
715,E00023468,46.403,8.194,10.465,14.359,15.116,5.462,46.403,8.194,10.465,14.359,15.116,5.462
716,E00023718,52.836,9.526,9.393,8.994,13.89,5.361,52.836,9.526,9.393,8.994,13.89,5.361
717,E00023799,57.61,5.773,7.832,11.869,11.183,5.733,57.61,5.773,7.832,11.869,11.183,5.733
718,E00023822,54.044,7.544,9.389,9.91,13.291,5.822,54.044,7.544,9.389,9.91,13.291,5.822
719,E00023610,55.873,6.998,9.581,9.331,12.635,5.582,55.873,6.998,9.581,9.331,12.635,5.582
720,E00023691,56.286,8.276,8.845,6.911,13.14,6.542,56.286,8.276,8.845,6.911,13.14,6.542
721,E00024045,49.509,11.402,8.715,10.724,14.019,5.631,49.509,11.402,8.715,10.724,14.019,5.631
722,E00023834,53.169,5.807,9.006,13.515,13.228,5.275,53.169,5.807,9.006,13.515,13.228,5.275
723,E00023612,51.019,6.841,10.465,12.138,13.854,5.683,51.019,6.841,10.465,12.138,13.854,5.683
724,E00023817,70.581,6.235,5.346,5.611,7.805,4.422,70.581,6.235,5.346,5.611,7.805,4.422
725,E00023896,62.894,6.03,7.143,9.369,8.905,5.659,62.894,6.03,7.143,9.369,8.905,5.659
726,E00023434,53.047,7.14,10.314,9.268,14.713,5.517,53.047,7.14,10.314,9.268,14.713,5.517
727,E00175201,54.724,6.299,8.312,12.527,12.314,5.825,54.724,6.299,8.312,12.527,12.314,5.825
728,E00023944,59.48,10.052,8.151,7.859,9.063,5.395,59.48,10.052,8.151,7.859,9.063,5.395
729,E00024064,50.819,5.977,10.155,10.985,16.732,5.331,50.819,5.977,10.155,10.985,16.732,5.331
730,E00175278,53.494,9.294,10.112,8.104,11.227,7.77,53.494,9.294,10.112,8.104,11.227,7.77
731,E00023601,49.458,7.298,10.362,13.021,13.698,6.163,49.458,7.298,10.362,13.021,13.698,6.163
