,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
235,E00023661,28.0,£4m - £5m,6264571.429,3212071.429,56050000.0
236,E00023662,29.0,£5m+,9106100.0,4553000.0,117281800.0
237,E00023663,29.0,£5m+,5376125.0,2778750.0,59862750.0
238,E00023664,29.0,£5m+,5717388.889,3096333.333,42304777.778
239,E00023665,29.0,£5m+,3577500.0,2061250.0,22464062.5
240,E00023666,29.0,£5m+,7446647.059,4287117.647,54102647.059
241,E00023668,27.0,£3m - £4m,3071076.923,1646846.154,33158307.692
242,E00023669,29.0,£5m+,12002666.667,6357533.333,82962600.0
243,E00023670,29.0,£5m+,5919285.714,3267357.143,60793357.143
244,E00023671,29.0,£5m+,5089857.143,2584285.714,82969428.571
245,E00023672,27.0,£3m - £4m,5131000.0,2964571.429,102497428.571
246,E00023674,26.0,£2m - £3m,3569833.333,1905750.0,48906666.667
247,E00023675,27.0,£3m - £4m,3980333.333,2279333.333,116967333.333
248,E00023676,29.0,£5m+,6220666.667,3139111.111,65823333.333
249,E00023678,29.0,£5m+,6405600.0,3287200.0,127790800.0
250,E00023679,29.0,£5m+,8718600.0,4391200.0,153079000.0
251,E00023680,29.0,£5m+,8151625.0,4075500.0,90643625.0
252,E00023681,29.0,£5m+,8318200.0,4250850.0,76144600.0
253,E00023682,29.0,£5m+,5845666.667,2938333.333,70608416.667
254,E00023684,27.0,£3m - £4m,4076900.0,2363900.0,52456900.0
255,E00023685,26.0,£2m - £3m,2570714.286,1713000.0,48677857.143
256,E00023686,27.0,£3m - £4m,4310300.0,2777550.0,32806250.0
257,E00023687,27.0,£3m - £4m,2902153.846,1581615.385,32146538.462
258,E00023688,29.0,£5m+,7180444.444,3590333.333,67936888.889
259,E00023689,29.0,£5m+,5458647.059,2740352.941,40492764.706
260,E00023690,29.0,£5m+,6513857.143,3487285.714,68310000.0
261,E00023691,26.0,£2m - £3m,2349000.0,1645000.0,72819000.0
262,E00023692,20.0,£701k - £800K,858500.0,799250.0,27655000.0
263,E00023694,23.0,£1m - £1.25m,1169000.0,918000.0,108717000.0
264,E00023695,23.0,£1m - £1.25m,1285800.0,923000.0,51101600.0
265,E00023696,23.0,£1.5m - £2m,1444000.0,1006500.0,133296500.0
266,E00023697,26.0,£2m - £3m,2590375.0,1903625.0,40453500.0
267,E00023698,20.0,£1.25m - £1.5m,1420500.0,1122000.0,25832000.0
268,E00023699,23.0,£1m - £1.25m,2787500.0,1894750.0,125444000.0
269,E00023700,18.0,£1.25m - £1.5m,1266400.0,872600.0,23162400.0
270,E00023701,19.0,£601K - £700K,649000.0,540600.0,25431000.0
271,E00023702,20.0,£701k - £800K,837666.667,706000.0,47739333.333
272,E00023703,23.0,£1m - £1.25m,1430125.0,1062875.0,21333250.0
273,E00023704,22.0,£900K - £1m,1087000.0,974200.0,33487200.0
274,E00023705,21.0,£800K - £900K,811000.0,744000.0,79478000.0
275,E00023706,16.0,£401K - £450K,440250.0,400250.0,13085750.0
276,E00023707,17.0,£451K - £500K,459000.0,424666.667,15387000.0
277,E00023708,23.0,£1.25m - £1.5m,1631333.333,1447000.0,42644000.0
278,E00023709,16.0,£401K - £450K,429750.0,414500.0,12854250.0
279,E00023710,17.0,£451K - £500K,448666.667,430666.667,14912000.0
280,E00023711,16.0,£401K - £450K,414333.333,368000.0,14617666.667
281,E00023712,21.0,£800K - £900K,873000.0,814000.0,126585000.0
282,E00023713,25.0,£1.5m - £2m,1753000.0,1359250.0,52950500.0
283,E00023714,19.0,£1.5m - £2m,1077875.0,891000.0,18520125.0
284,E00023715,12.0,£301K - £325K,395000.0,354750.0,12160250.0
285,E00023716,23.0,£1.5m - £2m,1665000.0,1361666.667,95496333.333
286,E00023717,18.0,£501K - £600K,535000.0,446500.0,36409000.0
287,E00023718,19.0,£1.25m - £1.5m,972333.333,891000.0,39825666.667
288,E00023719,19.0,£601K - £700K,676666.667,626333.333,38396333.333
289,E00023720,26.0,£2m - £3m,2774833.333,1699500.0,53251333.333
290,E00023721,23.0,£1.25m - £1.5m,1338200.0,1059200.0,56367200.0
291,E00023722,,,,,
292,E00023723,21.0,£800K - £900K,772250.0,679750.0,35064000.0
293,E00023724,24.0,£1.25m - £1.5m,1070750.0,878500.0,36717000.0
294,E00023725,17.0,£1.25m - £1.5m,926000.0,775500.0,57316500.0
295,E00023726,21.0,£800K - £900K,877000.0,840000.0,133304000.0
296,E00023727,25.0,£1.5m - £2m,1467285.714,1188142.857,19767428.571
297,E00023728,26.0,£2m - £3m,1960857.143,1329571.429,42007428.571
298,E00023729,24.0,£1.25m - £1.5m,1754666.667,1265333.333,139438000.0
299,E00023730,21.0,£1m - £1.25m,933000.0,677500.0,70416000.0
300,E00023731,15.0,£1.5m - £2m,913000.0,634700.0,13014900.0
301,E00023732,21.0,£1.25m - £1.5m,1125600.0,881800.0,33290200.0
302,E00023733,25.0,£1.5m - £2m,2120666.667,1675333.333,107471666.667
303,E00023734,27.0,£3m - £4m,2614300.0,1867200.0,33770800.0
304,E00023737,17.0,£451K - £500K,478571.429,437428.571,8489142.857
305,E00023738,27.0,£3m - £4m,3003833.333,2006500.0,69110500.0
306,E00023739,26.0,£2m - £3m,2624500.0,1750250.0,77092250.0
307,E00023740,26.0,£2m - £3m,3237916.667,2357833.333,45573916.667
308,E00023741,26.0,£2m - £3m,2647000.0,1528000.0,158820000.0
309,E00023744,25.0,£1.5m - £2m,1532000.0,1357200.0,72234200.0
310,E00023745,26.0,£2m - £3m,2318222.222,2084888.889,29539777.778
311,E00023746,23.0,£1m - £1.25m,1365153.846,1069307.692,28004846.154
312,E00023747,24.0,£1.25m - £1.5m,1798500.0,1453666.667,63025833.333
