,OA,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[shared_scale] - [per_effective_area_square_meter] - worker_count,[shared_scale] - [per_effective_area_square_meter] - student_count,[shared_scale] - [per_effective_area_square_meter] - tourist_count,[shared_scale] - [per_effective_area_square_meter] - shopper_count,[shared_scale] - [per_effective_area_square_meter] - leisurer_count,[shared_scale] - [per_effective_area_square_meter] - chorer_count,[shared_scale] - [per_effective_area_square_meter] - resident_count
729,E00024064,3.311,0.469,1.173,0.851,1.482,0.433,3.069,7.719,10.788,3.311,0.469,1.173,0.851,1.482,0.433,3.069
730,E00175278,2.658,0.546,0.718,0.321,0.657,0.603,2.545,5.503,8.048,2.658,0.546,0.718,0.321,0.657,0.603,2.545
731,E00023601,4.351,0.771,1.167,1.378,1.312,0.68,3.646,9.659,13.305,4.351,0.771,1.167,1.378,1.312,0.68,3.646
732,E00023680,1.966,0.261,0.56,0.167,0.336,0.498,1.748,3.788,5.536,1.966,0.261,0.56,0.167,0.336,0.498,1.748
733,E00023937,11.206,0.848,3.621,1.705,2.301,0.822,1.049,20.503,21.552,11.206,0.848,3.621,1.705,2.301,0.822,1.049
734,E00023478,3.123,0.567,1.101,1.408,1.009,0.512,3.229,7.72,10.949,3.123,0.567,1.101,1.408,1.009,0.512,3.229
735,E00175267,3.427,0.625,1.064,1.816,0.659,0.479,5.497,8.07,13.567,3.427,0.625,1.064,1.816,0.659,0.479,5.497
736,E00023793,1.009,0.347,0.201,0.195,0.274,0.2,1.839,2.226,4.065,1.009,0.347,0.201,0.195,0.274,0.2,1.839
737,E00023712,2.901,0.397,0.748,0.256,0.812,0.402,3.475,5.516,8.991,2.901,0.397,0.748,0.256,0.812,0.402,3.475
738,E00023976,1.206,0.472,0.4,0.396,0.301,0.159,1.305,2.934,4.239,1.206,0.472,0.4,0.396,0.301,0.159,1.305
739,E00023646,8.419,1.63,2.194,1.703,2.492,1.193,1.87,17.631,19.501,8.419,1.63,2.194,1.703,2.492,1.193,1.87
740,E00023621,4.126,0.568,1.226,1.109,1.215,0.428,3.39,8.672,12.062,4.126,0.568,1.226,1.109,1.215,0.428,3.39
